Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
ShareID,Date,First,High,Low,Stop,Volume
5,2023-08-25 00:00:00,89.2,89.8,89.1,89.65,59063
5,2023-08-24 00:00:00,90.5,92,89.45,89.55,66676
5,2023-08-23 00:00:00,91.8,91.95,90.35,90.4,56511
5,2023-08-22 00:00:00,92.15,92.55,91.8,91.9,54448
5,2023-08-21 00:00:00,90.35,92.95,90.35,91.6,70463
5,2023-08-18 00:00:00,90.8,90.9,90.2,90.65,54540
5,2023-08-17 00:00:00,91.95,91.95,90.95,91,34397
5,2023-08-16 00:00:00,91.6,92.7,91.4,92.15,66791
5,2023-08-15 00:00:00,91.65,92.35,91.4,91.65,39804
5,2023-08-14 00:00:00,92.1,92.95,91.05,92.1,52403
5,2023-08-11 00:00:00,94,94.1,91.95,92,72039
5,2023-08-10 00:00:00,94.35,95,94.15,94.5,77184
5,2023-08-09 00:00:00,95,95.25,94,94.3,69282
5,2023-08-08 00:00:00,96.25,97.4,94.5,94.7,101578
5,2023-08-07 00:00:00,96.5,97.45,96.05,96.35,36018
5,2023-08-04 00:00:00,96,97.55,95.75,96.6,48090
5,2023-08-03 00:00:00,96,97.8,95.8,95.95,79333
5,2023-08-02 00:00:00,96.1,99.1,96,98.65,93335
5,2023-08-01 00:00:00,102.1,102.8,96.5,97.95,152803
5,2023-07-31 00:00:00,102.2,103,102,102.2,85936
